ownership_type,nexus_rating,energy_footprint,core_reactor_size,harvesting_space,vertical_alignment,power_chambers,energy_flow_design,upper_collector_height,shared_conversion_units,isolated_conversion_units,internal_collectors,external_collectors,ambient_harvesters,shielded_harvesters,efficiency_grade,grid_connections
3.0,7139520.0,59.2,12.5,31.0,2.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0
,10500000.0,88.0,14.2,48.0,18.0,3.0,1.0,,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0
3.0,9019650.0,78.5,22.5,40.8,12.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0
,10500000.0,88.0,14.0,48.0,18.0,3.0,,,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0
,13900000.0,78.0,17.0,35.0,7.0,2.0,1.0,2.9,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0
3.0,5464800.0,36.0,5.8,21.6,1.0,2.0,,2.65,1.0,0.0,0.0,1.0,,,,1.0
,7100000.0,38.5,7.4,18.9,17.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
,5950000.0,37.6,9.8,19.0,16.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
,8700000.0,106.9,12.8,67.9,21.0,3.0,1.0,2.8,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
,10990000.0,63.6,10.4,32.5,7.0,2.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
,13650000.0,71.0,14.0,37.0,1.0,2.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0
,15700000.0,90.5,13.1,55.0,11.0,3.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3.0,4045140.0,19.8,5.2,9.6,17.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
,5000000.0,24.0,,16.0,5.0,1.0,,,1.0,0.0,,,,,,2.0
,5400000.0,32.3,8.2,14.3,4.0,1.0,,,0.0,1.0,,,1.0,0.0,0.0,1.0
,5470000.0,23.0,,,7.0,1.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0
,5950000.0,37.0,6.0,26.0,7.0,2.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0
,6170000.0,42.2,7.2,19.0,8.0,1.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0
,6150000.0,40.0,7.5,19.1,2.0,1.0,,2.74,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
,7200000.0,60.0,16.0,30.0,6.0,2.0,,,0.0,2.0,,,1.0,0.0,0.0,1.0
,7600000.0,60.0,,,3.0,2.0,,,1.0,0.0,,,1.0,0.0,0.0,1.0
,9200000.0,68.0,10.0,42.5,17.0,3.0,2.0,2.85,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0
3.0,11960000.0,119.6,20.5,62.1,9.0,4.0,,2.65,0.0,3.0,1.0,1.0,,,,1.0
,13500000.0,63.0,12.0,,2.0,2.0,,,1.0,0.0,,,0.0,1.0,3.0,1.0
,13650000.0,70.0,,,1.0,2.0,,,0.0,1.0,,,1.0,0.0,2.0,1.0
,15850000.0,83.2,,,15.0,3.0,,,0.0,2.0,,,1.0,0.0,2.0,1.0
,16900000.0,104.0,,,10.0,4.0,,,0.0,1.0,,,1.0,0.0,2.0,1.0
3.0,3910450.0,19.7,5.1,9.7,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4237740.0,23.4,6.1,11.3,12.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
,4450000.0,50.2,11.0,35.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,,,0.0,1.0
,4500000.0,27.0,5.0,15.0,19.0,1.0,,,,,,,,,,1.0
3.0,4568400.0,27.0,6.9,12.7,10.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
,34999000.0,73.0,,,20.0,2.0,,,,,,,,,2.0,2.0
3.0,5197920.0,33.6,10.7,11.5,6.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
,5150000.0,22.8,3.1,13.3,4.0,1.0,,,1.0,0.0,1.0,0.0,,,2.0,1.0
,5250000.0,23.2,,,9.0,1.0,,2.7,1.0,0.0,0.0,1.0,,,3.0,2.0
,5350000.0,36.2,10.0,14.0,7.0,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
,5537000.0,44.0,11.0,16.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,,1.0
3.0,5541250.0,32.5,6.0,14.7,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5674920.0,39.3,18.1,11.1,8.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,6035600.0,39.5,19.6,11.2,15.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
,6150000.0,42.3,16.1,15.1,5.0,1.0,,,0.0,1.0,1.0,1.0,,,,2.0
,6800000.0,51.0,9.0,31.0,4.0,2.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0
,6950000.0,48.1,10.9,25.4,13.0,2.0,,,1.0,1.0,0.0,1.0,,,,1.0
3.0,7304760.0,59.1,20.8,23.0,7.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0
,7399990.0,56.0,10.0,20.15,12.0,2.0,1.0,,0.0,1.0,,,0.0,1.0,1.0,1.0
3.0,7801000.0,72.5,12.6,41.9,2.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0
,8100000.0,56.2,12.0,28.0,15.0,2.0,1.0,2.75,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
,8390000.0,47.0,23.0,23.13,10.0,2.0,,3.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0
3.0,8540500.0,72.5,12.6,42.0,14.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0
,8850000.0,43.0,19.0,19.0,10.0,1.0,,3.05,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0
3.0,8878350.0,78.5,22.5,40.8,11.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0
,8800000.0,67.0,12.0,34.0,10.0,3.0,,,,,1.0,0.0,,,,2.0
,8800000.0,62.3,,,7.0,2.0,,,0.0,1.0,,,0.0,1.0,,1.0
,9190000.0,58.7,11.0,37.0,3.0,2.0,1.0,,1.0,0.0,0.0,1.0,,,2.0,1.0
3.0,9500240.0,79.7,17.0,41.5,9.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0
,9800000.0,70.4,7.0,57.0,1.0,3.0,1.0,2.8,0.0,1.0,1.0,0.0,,,1.0,1.0
,11000000.0,57.5,22.0,26.0,6.0,3.0,1.0,,1.0,0.0,1.0,1.0,,,2.0,1.0
,11200000.0,56.4,,,9.0,2.0,2.0,2.8,1.0,0.0,1.0,1.0,,,3.0,1.0
,12300000.0,94.2,12.0,48.0,9.0,3.0,1.0,2.85,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0
3.0,13414421.0,103.1,,52.9,2.0,4.0,,,,,,,1.0,0.0,,1.0
,13500000.0,80.0,13.0,45.0,12.0,3.0,1.0,2.74,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0
,13800000.0,78.6,10.7,40.1,10.0,3.0,1.0,,2.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0
3.0,13940619.0,104.9,,54.0,13.0,4.0,,,,,,,1.0,0.0,,1.0
,15700000.0,94.6,14.0,60.7,5.0,3.0,1.0,,,,,,1.0,0.0,,2.0
,16950000.0,108.84,10.7,59.3,21.0,4.0,,,,,,,,,,0.0
3.0,6065820.0,42.3,16.0,15.3,12.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0
3.0,7611760.0,56.3,21.1,21.0,22.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0
3.0,7290630.0,53.1,18.8,20.3,9.0,2.0,,2.65,0.0,2.0,0.0,1.0,1.0,0.0,,1.0
3.0,5496290.0,35.9,17.0,10.1,12.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
1.0,8900000.0,62.2,12.8,32.2,8.0,2.0,,2.7,0.0,2.0,1.0,0.0,,,3.0,2.0
3.0,6120810.0,42.3,16.0,15.2,15.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0
2.0,1990000.0,22.2,,20.0,1.0,1.0,,,1.0,0.0,0.0,1.0,,,0.0,2.0
2.0,2590000.0,18.5,,16.5,2.0,1.0,,3.1,1.0,0.0,1.0,0.0,,,0.0,2.0
3.0,4291560.0,25.2,6.0,12.3,8.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
2.0,6740000.0,35.0,10.0,16.0,4.0,1.0,,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
3.0,8512341.0,75.0,34.7,25.1,8.0,2.0,,2.89,1.0,1.0,1.0,0.0,0.0,1.0,,1.0
1.0,6700000.0,64.1,12.7,34.0,15.0,2.0,1.0,3.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
3.0,8722250.0,69.5,17.8,35.6,2.0,3.0,,2.65,0.0,2.0,1.0,1.0,,,,1.0
3.0,8782200.0,57.4,,28.7,15.0,2.0,,3.0,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
1.0,10000000.0,84.8,12.8,46.1,8.0,3.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,11000000.0,71.6,,,12.0,3.0,1.0,2.7,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
2.0,12500000.0,73.2,10.2,44.2,10.0,3.0,1.0,3.14,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3.0,2919800.0,22.46,2.9,10.0,4.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
3.0,3128669.0,22.83,2.9,10.2,2.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
2.0,3500000.0,28.78,4.0,,3.0,1.0,,,1.0,0.0,,,0.0,1.0,,1.0
3.0,3550140.0,19.8,5.2,9.6,4.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,3553122.0,25.71,4.4,11.5,10.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
3.0,3693755.0,28.41,7.0,13.8,4.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
1.0,3825000.0,23.6,,,6.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,3914695.0,36.43,10.7,12.2,5.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
3.0,3987634.0,36.61,13.7,10.4,5.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
3.0,4082013.0,32.54,10.3,11.8,7.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
3.0,4090399.0,28.68,7.5,13.9,6.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
3.0,4139820.0,21.8,5.7,10.3,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4126339.0,32.29,11.4,10.4,10.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
1.0,4100000.0,28.79,,,9.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,4197500.0,28.75,4.0,15.1,12.0,1.0,,2.7,0.0,1.0,,,0.0,1.0,,1.0
3.0,4208520.0,20.4,5.1,9.7,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4288760.0,23.8,6.1,11.3,4.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4290120.0,20.4,5.1,9.7,5.0,1.0,,2.65,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
,130001970.0,159.0,,,6.0,4.0,,3.1,0.0,2.0,,,,,,1.0
2.0,4280000.0,34.34,7.8,13.1,5.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
1.0,4325000.0,31.7,,,1.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,4326660.0,23.4,6.1,11.3,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4336200.0,19.8,5.1,9.7,16.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4333980.0,23.8,6.1,11.3,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
0.0,4450000.0,25.3,7.2,11.4,4.0,1.0,,,1.0,0.0,0.0,1.0,,,0.0,2.0
3.0,4500720.0,25.2,6.5,11.9,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4508196.0,31.57,16.5,8.3,6.0,1.0,,2.8,1.0,0.0,,,1.0,1.0,,1.0
3.0,4579200.0,27.0,6.9,12.7,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
2.0,4550000.0,25.5,7.2,11.1,20.0,1.0,,,1.0,0.0,1.0,0.0,,,0.0,1.0
0.0,4550000.0,35.0,10.0,17.0,11.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,4635800.0,35.66,10.5,18.0,2.0,1.0,,2.7,0.0,1.0,,,,,,1.0
